Time,User full name,Affected user,Event context,Component,Event name,Description,Origin
"18/12/20, 09:46",anonfirstname63 anonlastname63,-,Course: test_anon,System,Course viewed,The user with id '175' viewed the course with id '11'.,
"18/12/20, 09:35",anonfirstname63 anonlastname63,-,Feedback: Feedback for the Course,Feedback,Course module viewed,The user with id '175' viewed the 'feedback' activity with course module id '605'.,
"18/12/20, 09:35",anonfirstname63 anonlastname63,-,Course: test_anon,System,Course viewed,The user with id '175' viewed the course with id '11'.,
"18/12/20, 08:54",anonfirstname64 anonlastname64,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '176' viewed the 'quiz' activity with course module id '716'.,
"18/12/20, 08:54",anonfirstname64 anonlastname64,anonfirstname64 anonlastname64,Course: test_anon,User report,Grade user report viewed,The user with id '176' viewed the user report in the gradebook.,
"18/12/20, 08:45",anonfirstname64 anonlastname64,anonfirstname64 anonlastname64,Course: test_anon,User report,Grade user report viewed,The user with id '176' viewed the user report in the gradebook.,
"18/12/20, 08:44",anonfirstname64 anonlastname64,anonfirstname64 anonlastname64,Course: test_anon,Overview report,Grade overview report viewed,The user with id '176' viewed the overview report in the gradebook.,
"18/12/20, 08:44",anonfirstname64 anonlastname64,anonfirstname64 anonlastname64,Course: test_anon,User report,Grade user report viewed,The user with id '176' viewed the user report in the gradebook.,
"18/12/20, 08:44",anonfirstname64 anonlastname64,-,Course: test_anon,System,Course viewed,The user with id '176' viewed the course with id '11'.,
"18/12/20, 08:15",anonfirstname73 anonlastname73,anonfirstname73 anonlastname73,Course: test_anon,User report,Grade user report viewed,The user with id '185' viewed the user report in the gradebook.,
"18/12/20, 07:32",anonfirstname64 anonlastname64,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '176' viewed the 'quiz' activity with course module id '716'.,
"18/12/20, 07:32",anonfirstname64 anonlastname64,-,Course: test_anon,System,Course viewed,The user with id '176' viewed the course with id '11'.,
"18/12/20, 06:32",anonfirstname64 anonlastname64,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '176' viewed the 'quiz' activity with course module id '716'.,
"18/12/20, 06:18",anonfirstname64 anonlastname64,-,Course: test_anon,Quiz,Course module instance list viewed,The user with id '176' viewed the instance list for the module 'quiz' in the course with id '11'.,
"18/12/20, 06:18",anonfirstname64 anonlastname64,-,Course: test_anon,System,Course viewed,The user with id '176' viewed the course with id '11'.,
"17/12/20, 22:30",anonfirstname73 anonlastname73,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '185' viewed the 'quiz' activity with course module id '716'.,
