id,userid,forumid,discussionid,postid,firstread,lastread
6337,171,45,35,259,1601143323,1607516865
6338,171,45,36,292,1600621426,1600778068
6339,171,45,36,291,1600621426,1600778068
6340,171,45,36,303,1600767824,1600778068
6341,171,45,36,290,1600621426,1600778068
6342,171,45,36,289,1600621426,1600778068
6343,171,45,36,288,1600621426,1600778068
6344,171,45,36,287,1600621426,1600778068
6345,171,45,36,286,1600621426,1600778068
6346,171,45,36,285,1600621426,1600778068
6347,171,45,36,284,1600621426,1600778068
6348,171,45,36,283,1600621426,1600778068
6349,171,45,36,282,1600621426,1600778068
6350,171,45,36,281,1600621426,1600778068
6351,171,45,36,280,1600621426,1600778068
6352,171,45,36,302,1600621426,1600778068
6353,171,45,36,301,1600621426,1600778068
6354,171,45,36,300,1600621426,1600778068
6355,171,45,36,299,1600621426,1600778068
6356,171,45,36,298,1600621426,1600778068
6357,171,45,36,297,1600621426,1600778068
6358,171,45,36,296,1600621426,1600778068
6359,171,45,36,295,1600621426,1600778068
6360,171,45,36,294,1600621426,1600778068
6361,171,45,36,293,1600621426,1600778068
6362,171,45,36,279,1600621426,1600778068
6363,171,45,36,278,1600621426,1600778068
6364,172,45,33,257,1607975380,1607975380
6365,172,45,33,256,1607975380,1607975380
6366,172,45,35,276,1604249080,1604414164
6367,172,45,35,275,1603452633,1604414164
6368,172,45,35,274,1603452633,1604414164
6369,172,45,35,273,1603452633,1604414164
6370,172,45,35,263,1601825041,1604414164
6371,172,45,35,262,1601825041,1604414164
6372,172,45,35,277,1604414164,1604414164
6373,172,45,35,269,1603288173,1604414164
6374,172,45,35,268,1603288173,1604414164
6375,172,45,35,267,1603199634,1604414164
6376,172,45,35,266,1603091963,1604414164
6377,172,45,35,272,1603452633,1604414164
6378,172,45,35,271,1603452633,1604414164
6379,172,45,35,270,1603452633,1604414164
6380,172,45,35,264,1602763453,1604414164
6381,172,45,35,265,1602763453,1604414164
6382,172,45,34,258,1601824585,1603310122
6383,172,45,35,261,1601474771,1604414164
6384,172,45,35,260,1601474771,1604414164
6385,172,45,36,303,1601138419,1601138419
6386,172,45,36,302,1601138419,1601138419
6387,172,45,35,259,1601138413,1604414164
6388,172,45,36,297,1600261685,1601138419
6389,172,45,36,296,1600261685,1601138419
6390,172,45,36,295,1600261685,1601138419
6391,172,45,36,294,1600261685,1601138419
6392,172,45,36,293,1600261685,1601138419
6393,172,45,36,292,1600261685,1601138419
6394,172,45,36,291,1600261685,1601138419
6395,172,45,36,290,1600261685,1601138419
6396,172,45,36,289,1600261685,1601138419
6397,172,45,36,288,1600261685,1601138419
6398,172,45,36,287,1600261685,1601138419
6399,172,45,36,286,1600261685,1601138419
6400,172,45,36,285,1600261685,1601138419
6401,172,45,36,284,1600261685,1601138419
6402,172,45,36,283,1600261685,1601138419
6403,172,45,36,282,1600261685,1601138419
6404,172,45,36,281,1600261685,1601138419
6405,172,45,36,279,1600177725,1601138419
6406,172,45,36,301,1600611025,1601138419
6407,172,45,36,300,1600611025,1601138419
6408,172,45,36,299,1600611025,1601138419
6409,172,45,36,298,1600611025,1601138419
6410,172,45,36,280,1600178003,1601138419
